SOG_ID	FungiDB-68_AfumigatusA1163	FungiDB-68_AfumigatusAf293	FungiDB-68_AnovofumigatusIBT16806
SOG000001.OG0000001	AFUB_062590	Afu5g15130	
SOG000002.OG0000007	AFUB_022340	Afu2g05310	P174DRAFT_426753
SOG000003.OG0000008	AFUB_087140	Afu7g00550	P174DRAFT_507178
SOG000004.OG0000009	AFUB_086410	Afu8g00120	
SOG000005.OG0000010	AFUB_092240	Afu7g06670	P174DRAFT_453500
SOG000006.OG0000011	AFUB_075330		P174DRAFT_457091
SOG000007.OG0000011	AFUB_079030	Afu5g14920	
SOG000008.OG0000012	AFUB_032260	Afu2g16580	P174DRAFT_500973
SOG000009.OG0000013	AFUB_085970	Afu8g00600	P174DRAFT_376956
SOG000010.OG0000016	AFUB_034840	Afu3g14390	P174DRAFT_455387
SOG000011.OG0000017	AFUB_028310	Afu2g12660	P174DRAFT_362843
SOG000012.OG0000018	AFUB_018060	Afu2g00970	P174DRAFT_426339
SOG000013.OG0000020	AFUB_058430	Afu5g10830	
SOG000014.OG0000020	AFUB_059190	Afu5g11620	P174DRAFT_510459
SOG000015.OG0000020	AFUB_004230	Afu1g03820	
SOG000016.OG0000020	AFUB_023750	Afu2g07710	
SOG000017.OG0000021	AFUB_075210	Afu6g09240	P174DRAFT_419380
SOG000018.OG0000022	AFUB_067090	Afu4g09980	P174DRAFT_371976
SOG000019.OG0000023	AFUB_000800	Afu6g13945	
SOG000020.OG0000023	AFUB_000810	Afu6g13940	
SOG000021.OG0000023	AFUB_086300	Afu8g00240	
SOG000022.OG0000024	AFUB_000780	Afu6g13970	
SOG000023.OG0000025	AFUB_042230	Afu3g06820	P174DRAFT_374972
SOG000024.OG0000025	AFUB_016870	Afu1g17520	
SOG000025.OG0000025	AFUB_097940	Afu1g00510	
SOG000026.OG0000027	AFUB_065550	Afu4g08450	P174DRAFT_461427
SOG000027.OG0000028	AFUB_092720	Afu6g09356	
SOG000028.OG0000029	AFUB_017070	Afu1g17690	P174DRAFT_398435
SOG000029.OG0000030	AFUB_046200	Afu3g02175	
SOG000030.OG0000031	AFUB_092100	Afu7g06526	P174DRAFT_444335
SOG000031.OG0000031	AFUB_071570	Afu5g00135	
SOG000032.OG0000032	AFUB_076220	Afu6g10160	
SOG000033.OG0000033	AFUB_099500	Afu4g03550	P174DRAFT_432680
SOG000034.OG0000034	AFUB_018370	Afu2g01290	P174DRAFT_415798
SOG000035.OG0000035	AFUB_101620	Afu4g01110	
SOG000036.OG0000036		Afu1g02800	P174DRAFT_445599
SOG000037.OG0000037	AFUB_092785	Afu6g09317	
SOG000038.OG0000038	AFUB_080790	Afu8g07000	P174DRAFT_444943
SOG000039.OG0000040	AFUB_079050,AFUB_096640	Afu5g14940,Afu1g16040	P174DRAFT_464609
SOG000040.OG0000041	AFUB_013480	Afu1g13990	P174DRAFT_441196
SOG000041.OG0000042	AFUB_022150	Afu2g05115	P174DRAFT_416175
SOG000042.OG0000043	AFUB_048820	Afu5g00380	
SOG000043.OG0000043	AFUB_048200	Afu3g00240	
SOG000044.OG0000043	AFUB_048860	Afu5g00410	
SOG000045.OG0000044	AFUB_036230	Afu3g12960	P174DRAFT_380078
SOG000046.OG0000045	AFUB_079080	Afu5g14970,Afu1g16060	
SOG000047.OG0000045	AFUB_075350		P174DRAFT_457088
SOG000048.OG0000046	AFUB_084230	Afu8g02360	P174DRAFT_463660
SOG000049.OG0000047	AFUB_085460	Afu8g01140	P174DRAFT_515264
SOG000050.OG0000048	AFUB_011990	Afu1g12520	
SOG000051.OG0000048	AFUB_009830	Afu1g10410	P174DRAFT_441614
SOG000052.OG0000048	AFUB_088750	Afu7g02200	
SOG000053.OG0000049	AFUB_011000	Afu1g11560	P174DRAFT_460314
SOG000054.OG0000049	AFUB_034410	Afu3g14820	
SOG000055.OG0000049	AFUB_044720	Afu3g03510	
SOG000056.OG0000050	AFUB_011900	Afu1g12420	P174DRAFT_420686
SOG000057.OG0000051	AFUB_016560	Afu1g17170	P174DRAFT_511897
SOG000058.OG0000052	AFUB_033670	Afu2g17980	
SOG000059.OG0000052	AFUB_044760	Afu3g03480	
SOG000060.OG0000052	AFUB_023940	Afu2g07920	P174DRAFT_382264
SOG000061.OG0000053	AFUB_092680	Afu6g09390	
SOG000062.OG0000054	AFUB_071840	Afu4g14600	P174DRAFT_512946
SOG000063.OG0000054	AFUB_101790	Afu4g01300	
SOG000064.OG0000054	AFUB_049570	Afu5g01090	
SOG000065.OG0000055	AFUB_079040,AFUB_096630	Afu5g14930,Afu1g16030	P174DRAFT_471122
SOG000066.OG0000055	AFUB_054440	Afu5g06880	
SOG000067.OG0000056	AFUB_057890	Afu5g10310	P174DRAFT_439097
SOG000068.OG0000057	AFUB_063710	Afu4g06630	P174DRAFT_452372
SOG000069.OG0000058	AFUB_079360	Afu1g01420	P174DRAFT_435197
SOG000070.OG0000059	AFUB_093620	Afu6g04680	P174DRAFT_146632
SOG000071.OG0000060	AFUB_101600	Afu4g01105	
SOG000072.OG0000066	AFUB_096100	Afu6g02220	P174DRAFT_430407
SOG000073.OG0000069	AFUB_017990	Afu2g00910	
SOG000074.OG0000070	AFUB_062260	Afu5g14582	
SOG000075.OG0000071	AFUB_078980	Afu5g14870	
SOG000076.OG0000071	AFUB_095720	Afu6g02590	
SOG000077.OG0000072	AFUB_048330	Afu3g00110	
SOG000078.OG0000072	AFUB_065270	Afu4g08170	P174DRAFT_442842
SOG000079.OG0000073	AFUB_051610	Afu5g03100	P174DRAFT_448353
SOG000080.OG0000074	AFUB_097640	Afu7g08510	
SOG000081.OG0000075	AFUB_046290,AFUB_046300	Afu3g02100	P174DRAFT_464548
SOG000082.OG0000075	AFUB_016890	Afu1g17540	
SOG000083.OG0000076	AFUB_095530	Afu6g02770	P174DRAFT_366564
SOG000084.OG0000077	AFUB_033630	Afu2g17940	
SOG000085.OG0000077	AFUB_078050	Afu6g12060	
SOG000086.OG0000078	AFUB_081290	Afu8g06500	P174DRAFT_376304
SOG000087.OG0000079	AFUB_010430	Afu1g11010	
SOG000088.OG0000079	AFUB_090540	Afu7g04980	P174DRAFT_514753
SOG000089.OG0000080	AFUB_090400	Afu7g04850	P174DRAFT_453673
SOG000090.OG0000081	AFUB_092290	Afu7g06710	
SOG000091.OG0000081	AFUB_044170	Afu3g03780	
SOG000092.OG0000082	AFUB_017520	Afu2g00460	
SOG000093.OG0000082	AFUB_079290	Afu1g01500	P174DRAFT_454829
SOG000094.OG0000083	AFUB_018380	Afu2g01300	P174DRAFT_436418
SOG000095.OG0000084	AFUB_045300	Afu3g02950	P174DRAFT_461950
SOG000096.OG0000085	AFUB_021165	Afu2g04095	P174DRAFT_436736
SOG000097.OG0000086	AFUB_045580	Afu3g02700	P174DRAFT_513871
SOG000098.OG0000087	AFUB_079130	Afu5g15020	
SOG000099.OG0000087	AFUB_081130	Afu8g06640	
SOG000100.OG0000089	AFUB_097260	Afu6g00260	P174DRAFT_511834
SOG000101.OG0000091	AFUB_001030	Afu6g13710	
SOG000102.OG0000092	AFUB_004690	Afu1g04350	P174DRAFT_463961
SOG000103.OG0000093	AFUB_079120	Afu5g15010	
SOG000104.OG0000093	AFUB_006150	Afu1g05760	P174DRAFT_442010
SOG000105.OG0000094	AFUB_010790	Afu1g11360	P174DRAFT_378546
SOG000106.OG0000095	AFUB_011880	Afu1g12410	P174DRAFT_441410
SOG000107.OG0000096	AFUB_026180	Afu2g10370	P174DRAFT_31063
SOG000108.OG0000096	AFUB_013140	Afu1g13650	
SOG000109.OG0000097	AFUB_017450	Afu2g00400	
SOG000110.OG0000098	AFUB_023950	Afu2g07930	P174DRAFT_361747
SOG000111.OG0000099	AFUB_029970	Afu2g14350	P174DRAFT_383006
SOG000112.OG0000100	AFUB_033450	Afu2g17770	P174DRAFT_438103
SOG000113.OG0000100	AFUB_085920	Afu8g00650	
SOG000114.OG0000101	AFUB_047360	Afu3g01040	P174DRAFT_464430
SOG000115.OG0000102	AFUB_047460	Afu3g00940	P174DRAFT_470423
SOG000116.OG0000103	AFUB_097980	Afu1g00550	
SOG000117.OG0000104	AFUB_049310	Afu5g00860	P174DRAFT_417395
SOG000118.OG0000105	AFUB_057350	Afu5g09810	P174DRAFT_439050
SOG000119.OG0000106	AFUB_092620	Afu6g09430	P174DRAFT_75363
